,date,stock_open,stock_close,index_close,index_close_delta,stock_close_delta,net_close_delta,ncd_rolling_std,ncd_rolling_mean,ncd_daily_k_stds,mu_-_k_*_sd,event_flag,return,net_return,roi
0,2010-01-04,157.5,160.0,,,,,,,,,0,0.0,-0.0,-0.0
1,2010-01-05,160.0,162.5,18.236666,,0.015625,,,,,,0,0.0,-0.0,-0.0
2,2010-01-06,157.5,159.0,18.48,0.013343118747692196,-0.021538461538461538,-0.034881580286153735,,,,,0,0.0,-0.0,-0.0
3,2010-01-07,156.0,162.5,18.48,0.0,0.0220125786163522,0.0220125786163522,,,,,0,0.0,-0.0,-0.0
4,2010-01-08,164.0,164.5,18.563334,0.004509415584415621,0.012307692307692308,0.007798276723276687,,,,,0,0.0,-0.0,-0.0
5,2010-01-11,164.5,155.5,18.663334,0.005386963354750707,-0.0547112462006079,-0.06009820955535861,,,,,0,0.0,-0.0,-0.0
6,2010-01-12,157.5,164.5,18.426666,-0.012680906851905352,0.05787781350482315,0.0705587203567285,,,,,0,0.0,-0.0,-0.0
7,2010-01-13,163.0,162.5,18.696667,0.014652732078608283,-0.0121580547112462,-0.026810786789854484,,,,,0,0.0,-0.0,-0.0
8,2010-01-14,150.5,162.5,18.709999,0.000713068270403401,0.0,-0.000713068270403401,,,,,0,0.0,-0.0,-0.0
9,2010-01-15,162.5,163.5,18.383333,-0.017459434391204374,0.006153846153846154,0.023613280545050526,,,,,0,0.0,-0.0,-0.0
10,2010-01-19,163.5,155.0,18.799999,0.022665421988493563,-0.05198776758409786,-0.07465318957259143,,,,,0,0.0,-0.0,-0.0
11,2010-01-20,152.5,150.0,18.696667,-0.005496383271084121,-0.03225806451612903,-0.02676168124504491,,,,,0,0.0,-0.0,-0.0
12,2010-01-21,152.5,147.5,18.389999,-0.016402281754282832,-0.016666666666666666,-0.0002643849123838346,,,,,0,0.0,-0.0,-0.0
13,2010-01-22,149.5,142.0,18.356667,-0.0018125068957316377,-0.03728813559322034,-0.0354756286974887,,,,,0,0.0,-0.0,-0.0
14,2010-01-25,144.5,140.0,18.280001000000002,-0.004176466239759072,-0.014084507042253521,-0.00990804080249445,,,,,0,0.0,-0.0,-0.0
15,2010-01-26,135.0,137.5,18.406666,0.00692915717017735,-0.017857142857142856,-0.024786300027320206,,,,,0,0.0,-0.0,-0.0
16,2010-01-27,135.0,137.5,18.66,0.013763166018223985,0.0,-0.013763166018223985,,,,,0,0.0,-0.0,-0.0
17,2010-01-28,139.0,142.5,18.393333,-0.01429083601286183,0.03636363636363636,0.05065447237649819,,,,,0,0.0,-0.0,-0.0
18,2010-01-29,140.0,139.5,18.426666,0.0018122327258470502,-0.021052631578947368,-0.022864864304794418,,,,,0,0.0,-0.0,-0.0
19,2010-02-01,140.0,139.5,18.620001000000002,0.010492131349208867,0.0,-0.010492131349208867,,,,,0,0.0,-0.0,-0.0
20,2010-02-02,137.5,137.5,19.146667,0.02828496088695155,-0.014336917562724014,-0.04262187844967556,,,,,0,0.0,-0.0,-0.0
21,2010-02-03,135.0,139.5,19.209999,0.003307729747428054,0.014545454545454545,0.011237724798026491,,,,,0,0.0,-0.0,-0.0
22,2010-02-04,140.0,139.0,18.326666,-0.04598298000952527,-0.0035842293906810036,0.042398750618844266,,,,,0,0.0,-0.0,-0.0
23,2010-02-05,135.0,137.5,18.306667,-0.0010912514038286367,-0.01079136690647482,-0.009700115502646184,,,,,0,0.0,-0.0,-0.0
24,2010-02-08,138.5,137.5,18.16,-0.008011671376335232,0.0,0.008011671376335232,,,,,0,0.0,-0.0,-0.0
25,2010-02-09,137.5,137.5,18.383333,0.012298072687224682,0.0,-0.012298072687224682,,,,,0,0.0,-0.0,-0.0
26,2010-02-10,135.0,135.0,18.333334,-0.0027198005932873915,-0.01818181818181818,-0.01546201758853079,,,,,0,0.0,-0.0,-0.0
27,2010-02-11,135.0,137.5,18.636667000000003,0.016545435761984268,0.018518518518518517,0.0019730827565342494,,,,,0,0.0,-0.0,-0.0
28,2010-02-12,135.0,137.5,18.896667,0.01395099241725991,0.0,-0.01395099241725991,,,,,0,0.0,-0.0,-0.0
29,2010-02-16,135.0,137.5,18.963333,0.003527923733852001,0.0,-0.003527923733852001,,,,,0,0.0,-0.0,-0.0
30,2010-02-17,133.5,137.5,19.303333,0.017929337632788492,0.0,-0.017929337632788492,,,,,0,0.0,-0.0,-0.0
31,2010-02-18,137.5,137.5,19.056667,-0.01277841500221737,0.0,0.01277841500221737,,,,,0,0.0,-0.0,-0.0
32,2010-02-19,132.5,134.5,19.066668,0.0005248032092914799,-0.02181818181818182,-0.0223429850274733,,,,,0,0.0,-0.0,-0.0
33,2010-02-22,131.0,135.0,18.933332,-0.006993146364115634,0.0037174721189591076,0.010710618483074742,,,,,0,0.0,-0.0,-0.0
34,2010-02-23,130.0,135.0,18.593334,-0.017957642109693178,0.0,0.017957642109693178,,,,,0,0.0,-0.0,-0.0
35,2010-02-24,134.5,130.0,18.67,0.004123305696547107,-0.037037037037037035,-0.04116034273358414,,,,,0,0.0,-0.0,-0.0
36,2010-02-25,125.5,129.5,18.636667000000003,-0.0017853776111408112,-0.0038461538461538464,-0.0020607762350130353,,,,,0,0.0,-0.0,-0.0
37,2010-02-26,125.5,134.0,18.77,0.007154337199886482,0.03474903474903475,0.027594697549148266,,,,,0,0.0,-0.0,-0.0
38,2010-03-01,144.0,135.0,19.756666,0.05256611614278101,0.007462686567164179,-0.04510342957561683,,,,,0,0.0,-0.0,-0.0
39,2010-03-02,135.0,135.0,19.906666,0.007592374138430145,0.0,-0.007592374138430145,,,,,0,0.0,-0.0,-0.0
40,2010-03-03,130.5,130.5,19.459999,-0.02243806170254735,-0.03333333333333333,-0.010895271630785984,,,,,0,0.0,-0.0,-0.0
41,2010-03-04,129.0,132.5,19.33,-0.006680318945545759,0.01532567049808429,0.02200598944363005,,,,,0,0.0,-0.0,-0.0
42,2010-03-05,128.5,132.5,19.68,0.018106570098292883,0.0,-0.018106570098292883,,,,,0,0.0,-0.0,-0.0
43,2010-03-08,134.5,129.5,19.726667000000003,0.0023712906504066516,-0.022641509433962263,-0.025012800084368913,,,,,0,0.0,-0.0,-0.0
44,2010-03-09,130.0,127.5,19.883333,0.007941838324740704,-0.015444015444015444,-0.023385853768756147,,,,,0,0.0,-0.0,-0.0
45,2010-03-10,125.0,125.0,20.116667,0.011735155267982448,-0.0196078431372549,-0.03134299840523735,,,,,0,0.0,-0.0,-0.0
46,2010-03-11,125.5,125.0,20.299999,0.009113438125709396,0.0,-0.009113438125709396,,,,,0,0.0,-0.0,-0.0
47,2010-03-12,127.5,127.5,20.146667,-0.00755330086469457,0.02,0.02755330086469457,,,,,0,0.0,-0.0,-0.0
48,2010-03-15,123.5,127.5,20.43,0.014063517305368622,0.0,-0.014063517305368622,,,,,0,0.0,-0.0,-0.0
49,2010-03-16,123.0,127.5,20.496666,0.0032631424375918474,0.0,-0.0032631424375918474,0.027399094718776586,-0.007365575995612974,-0.11909672458468555,-0.021065123355001266,0,0.0,-0.0,-0.0
50,2010-03-17,119.5,127.5,20.416666,-0.0039030737974654925,0.0,0.0039030737974654925,0.02714104289504163,-0.006557562368870906,0.14380706786247116,-0.020128083816391723,0,0.0,-0.0,-0.0
51,2010-03-18,125.0,127.5,20.360001,-0.0027754286620547573,0.0,0.0027754286620547573,0.02685066814818459,-0.006958336326252103,0.10336534818193743,-0.0203836704003444,0,0.0,-0.0,-0.0
52,2010-03-19,119.5,129.5,20.256666,-0.005075392678025963,0.01568627450980392,0.020761667187829885,0.0270665781955807,-0.0066882656915739115,0.7670591767384822,-0.02022155478936426,0,0.0,-0.0,-0.0
53,2010-03-22,123.0,127.5,20.386667000000003,0.0064176898607107204,-0.015444015444015444,-0.021861705304726163,0.026003001462469994,-0.005891671853019069,-0.8407377639184868,-0.018893172584254065,1,100.0,-0.5,-0.005
54,2010-03-23,127.5,127.5,20.683332,0.014551912777110513,0.0,-0.014551912777110513,0.023456052336738364,-0.0076648100433073805,-0.6203905315438941,-0.019392836211676562,0,0.0,-0.0,-0.0
55,2010-03-24,123.5,122.0,20.459999,-0.010797728335067107,-0.043137254901960784,-0.03233952656689368,0.02356538968881081,-0.007779992121995698,-1.3723314994552778,-0.0195626869664011,1,98.36065573770492,-2.139344262295083,-0.02139344262295083
56,2010-03-25,120.0,127.5,20.286667,-0.008471750169684685,0.045081967213114756,0.05355371738279944,0.02515946061394978,-0.006649434087553971,2.128571760918687,-0.01922916439452886,0,0.0,-0.0,-0.0
57,2010-03-26,123.5,125.5,20.126667,-0.007886953534555485,-0.01568627450980392,-0.007799320975248436,0.0247609251895423,-0.007303863285893533,-0.3149850385454278,-0.019684325880664683,0,0.0,-0.0,-0.0
58,2010-03-29,125.5,125.0,20.223333,0.0048028816693791885,-0.00398406374501992,-0.00878694541439911,0.022687397289164656,-0.005931649865931193,-0.38730513255461413,-0.01727534851051352,0,0.0,-0.0,-0.0
59,2010-03-30,125.0,124.0,20.113332999999997,-0.0054392616686875,-0.008,-0.0025607383313125,0.022482625373757836,-0.005427463555228434,-0.11389854559874685,-0.01666877624210735,0,0.0,-0.0,-0.0
60,2010-03-31,124.0,125.5,19.983334,-0.0064633246016459825,0.012096774193548387,0.01856009879519437,0.02273734396409974,-0.005035286811320555,0.8162826240610657,-0.016403958793370425,0,0.0,-0.0,-0.0
61,2010-04-01,122.5,117.0,20.15,0.008340249930266858,-0.06772908366533864,-0.0760693335956055,0.024574364474769437,-0.005880988996697988,-3.095475110809318,-0.01816817123408271,1,97.43589743589743,-3.064102564102569,-0.030641025641025693
62,2010-04-05,114.0,121.5,20.363332999999997,0.010587245657568172,0.038461538461538464,0.02787429280397029,0.025043253442448683,-0.005093857046563306,1.1130459893331173,-0.017615483767787647,0,0.0,-0.0,-0.0
63,2010-04-06,121.5,119.0,20.353333,-0.000491078744329232,-0.0205761316872428,-0.020085052942913566,0.024973695400277135,-0.0049959143989715005,-0.8042483349376752,-0.017482762099110066,1,96.63865546218487,-3.8613445378151283,-0.038613445378151284
64,2010-04-07,115.0,115.5,20.25,-0.005076957174532507,-0.029411764705882353,-0.024334807531349846,0.02509896008399074,-0.005216156930494956,-0.9695544138050441,-0.017765636972490326,1,99.13419913419914,-1.365800865800864,-0.01365800865800864
65,2010-04-08,114.5,124.0,20.383333,0.006584345679012364,0.0735930735930736,0.06700872791406123,0.025969438309180037,-0.004875443273462393,2.5802917689742277,-0.017860162428052412,0,0.0,-0.0,-0.0
66,2010-04-09,122.5,125.0,20.343334,-0.0019623385439467467,0.008064516129032258,0.010026854672979004,0.025918559637717328,-0.004190199128092113,0.38686002668094555,-0.017149478946950777,0,0.0,-0.0,-0.0
67,2010-04-12,122.0,130.0,20.303333,-0.0019662952001869593,0.04,0.04196629520018696,0.026740139615752313,-0.0030973152416463663,1.569411970289979,-0.016467385049522523,0,0.0,-0.0,-0.0
68,2010-04-13,130.0,129.0,20.299999,-0.00016420949210648508,-0.007692307692307693,-0.007528098200201208,0.02610878677189212,-0.0023661948197823174,-0.28833581069748193,-0.015420588205728378,0,0.0,-0.0,-0.0
69,2010-04-14,125.5,127.5,20.530001000000002,0.01133014834138674,-0.011627906976744186,-0.022958055318130926,0.026196080467612754,-0.003078606905535597,-0.8763927621353459,-0.016176647139341974,1,98.43137254901961,-2.0686274509803866,-0.020686274509803867
70,2010-04-15,125.5,137.5,20.476667000000003,-0.0025978566683946846,0.0784313725490196,0.08102922921741429,0.028143959661505666,-0.002273805268065388,2.8790983995135293,-0.01634578509881822,0,0.0,-0.0,-0.0
71,2010-04-16,137.5,140.0,20.303333,-0.008464951840062842,0.01818181818181818,0.026646770021881025,0.028427437537053984,-0.0015165784863044043,0.9373609558423289,-0.015730297254831396,0,0.0,-0.0,-0.0
72,2010-04-19,135.0,140.0,20.129998999999998,-0.00853721898764112,0.0,0.00853721898764112,0.02843128639870935,-0.0015056295777355316,0.3002755087447845,-0.015721272777090206,0,0.0,-0.0,-0.0
73,2010-04-20,142.5,134.5,20.190001000000002,0.002980725433717326,-0.039285714285714285,-0.042266439719431614,0.0289967512893876,-0.0021299705575731757,-1.457626728512188,-0.016628346202266976,1,98.51301115241635,-1.9869888475836461,-0.019869888475836463
74,2010-04-21,132.5,130.5,19.85,-0.01684006850717842,-0.02973977695167286,-0.01289970844449444,0.028974035150817683,-0.0020765891170724184,-0.4452161522324375,-0.01656360669248126,0,0.0,-0.0,-0.0
75,2010-04-22,135.0,132.5,19.696667,-0.007724584382871533,0.01532567049808429,0.02305025488095582,0.029195582150719854,-0.0016374813644803024,0.7895117405763902,-0.01623527243984023,0,0.0,-0.0,-0.0
76,2010-04-23,130.5,138.0,20.033333,0.0170925365189957,0.04150943396226415,0.02441689744326845,0.02937595422079547,-0.0008381503257192949,0.8311865296271307,-0.01552612743611703,0,0.0,-0.0,-0.0
77,2010-04-26,133.0,135.5,19.886667000000003,-0.007321098291532228,-0.018115942028985508,-0.010794843737453281,0.029408818677894574,-0.0009895444924609882,-0.36706145376615656,-0.015693953831408276,0,0.0,-0.0,-0.0
78,2010-04-27,137.5,133.0,19.636667000000003,-0.012571236799007093,-0.01845018450184502,-0.005878947702837926,0.02931241091358015,-0.0007384947022536847,-0.20056172520815296,-0.01539470015904376,0,0.0,-0.0,-0.0
79,2010-04-28,132.5,132.5,19.703332999999997,0.0033949753285521587,-0.0037593984962406013,-0.0071543738247927605,0.029257986222514302,-0.0011537611361497292,-0.24452721285675502,-0.01578275424740688,0,0.0,-0.0,-0.0
80,2010-04-29,135.0,133.0,20.283333,0.029436644043929112,0.0037735849056603774,-0.025663059138268735,0.029313017750199833,-0.0012229293467913007,-0.87548335544858,-0.015879438221891216,1,101.50375939849623,1.0037593984962285,0.010037593984962285
81,2010-04-30,135.0,132.0,20.116667,-0.00821689413667859,-0.007518796992481203,0.0006980971441973866,0.02926187108713793,-0.0014315235413512456,0.02385688673559346,-0.01606245908492021,0,0.0,-0.0,-0.0
82,2010-05-03,130.0,132.5,20.446667,0.016404307930334674,0.003787878787878788,-0.012616429142455886,0.02916343221463305,-0.002068483359104351,-0.4326112595253951,-0.016650199466420875,0,0.0,-0.0,-0.0
83,2010-05-04,130.0,126.0,19.866667,-0.02836648144169423,-0.04905660377358491,-0.02069012233189068,0.028726010813047608,-0.0016420204340690707,-0.7202574164071902,-0.016005025840592876,1,100.0,-0.5,-0.005
84,2010-05-05,126.0,130.0,19.416666,-0.022651056666928595,0.031746031746031744,0.05439708841296034,0.029842649076034622,-0.0004658149205696253,1.8227969063458365,-0.015387139458586937,0,0.0,-0.0,-0.0
85,2010-05-06,123.0,119.5,18.610001,-0.04154497996720956,-0.08076923076923077,-0.039224250802021216,0.030063493799617865,-0.001857876344552323,-1.3047136524937029,-0.016889623244361256,1,100.418410041841,-0.08158995815900028,-0.0008158995815900027
86,2010-05-07,120.0,112.5,17.84,-0.04137565602495134,-0.058577405857740586,-0.017201749832789243,0.02947349322850578,-0.0012765913499100815,-0.5836345797026965,-0.01601333796416297,1,102.22222222222221,1.7222222222222143,0.017222222222222142
87,2010-05-10,115.0,125.5,18.523332999999997,0.038303419282511075,0.11555555555555555,0.07725213627304447,0.031557169010633226,0.0004910026169956397,2.448005911018643,-0.015287581888320974,0,0.0,-0.0,-0.0
88,2010-05-11,125.0,124.0,18.766666,0.013136566729108816,-0.01195219123505976,-0.025088757964168575,0.03173214390844442,0.00019530498505016913,-0.7906417554564305,-0.01567076696917204,1,108.46774193548386,7.967741935483858,0.07967741935483857
89,2010-05-12,134.5,120.0,19.209999,0.023623428903141296,-0.03225806451612903,-0.05588149341927033,0.03257337960238916,-0.0014273509079269222,-1.7155571236818052,-0.0177140407091215,1,100.0,-0.5,-0.005
90,2010-05-13,120.0,122.5,19.116667,-0.004858511445003209,0.020833333333333332,0.02569184477833654,0.03270938038875688,-0.000514883931330476,0.7854580084668171,-0.016869574125708914,0,0.0,-0.0,-0.0
91,2010-05-14,119.5,115.0,18.713333,-0.021098552378403673,-0.061224489795918366,-0.04012593741751469,0.03302146199564873,-0.0008297409591043461,-1.215147210102391,-0.017340471956928713,1,100.0,-0.5,-0.005
92,2010-05-17,115.0,122.5,18.776667,0.003384431837984239,0.06521739130434782,0.061832959466363586,0.03405756571200218,0.0009456509832939816,1.8155425431528456,-0.01608313187270711,0,0.0,-0.0,-0.0
93,2010-05-18,122.0,120.0,18.620001000000002,-0.00834365332249849,-0.02040816326530612,-0.012064509942807632,0.03378124251445518,0.0013472861595946008,-0.3571363586654683,-0.01554333509763299,0,0.0,-0.0,-0.0
